 ,AGE040209D,AGE050210D,AGE270210D,AGE305210D,AGE770209D,AGN110207D,ANC100209D,BNK010210D,BNK050210D,BPS030210D,BPS130210D,BZN005209D,BZN075209D,BZN110209D,BZN210209D,BZN410209D,BZN450209D,BZN480209D,BZN510209D,BZN550209D,BZN610209D,BZN685209D,BZN710209D,BZN780209D,CLF010210D,CLF040210D,CRM110208D,CRM140208D,CRM240208D,CRM250208D,CRM260208D,EAN012207D,EDU015208D,EDU442209D,EDU490209D,EDU448209D,EDU496209D,HEA775207D,HIS020210D,HSD110210D,INC150209D,INC170209D,INC180209D,INC190209D,INC200209D,INC210209D,INC220209D,INC240209D,INC250209D,INC270209D,INC280209D,INC300209D,INC310209D,INC320209D,INC340209D,INC350209D,INC425209D,INC454209D,IPE010209D,IPE120209D,POP010210D,POP040210D,POP060210D,POP150210D,POP160210D,POP230210D,POP250210D,POP280210D,POP320210D
"Richmond, NY",491730,38.4,109201,169814,61394,120776,483168,107,9557,508,82093,0,10,1064,132,1238,286,103,407,303,857,156,1202,27701,249607,8.7,0,0,0,0,0,39611,58211,2406,4341,163613,174396,13.1,81051,118551,10671,6102,6861,6058,5725,6570,6163,6081,4578,12399,16446,25214,18096,11862,14317,9640,16149,12512,65388,11.4,468730,25002,8030.3,227289,241441,300169,49857,1695,35164
"Rockland, NY",300173,36.7,87580,100956,41203,56515,297298,106,8025,294,49438,4,9,932,258,1143,138,171,517,452,1218,176,1153,44010,151930,7.1,539,1,564,3806,139,54917,41416,1577,2387,95405,99169,12.9,48783,74156,3466,3038,3386,3298,3302,3432,3092,2806,2575,6596,8184,12694,10575,7586,10075,10049,17432,4770,78218,11.6,311687,24934,1795.9,152879,158808,203670,37058,911,19293
"St. Lawrence, NY",109715,37.5,23805,42571,14824,1346,109742,42,1122,176,14491,12,15,195,81,428,62,50,108,71,125,15,285,1652,49071,10.6,202,0,401,1443,47,36714,16147,516,635,37108,36468,16.1,2146,26604,3869,2994,2514,2849,2523,2542,2444,2069,2350,3768,4463,4254,2363,909,576,332,14423,4148,41627,17.8,111944,13,41.8,56852,55092,103943,2420,1135,1085
"Saratoga, NY",220069,40.9,49856,73989,28832,4365,216491,85,3290,612,137195,21,16,640,137,741,72,86,335,183,590,57,502,55507,119723,6.8,161,0,506,2396,82,39259,32192,910,1584,77207,79384,12.9,5279,58814,3532,3360,2951,3826,3281,3751,3493,3617,3606,7161,9696,13615,8932,5165,4748,3431,15889,3361,66634,6.3,219607,18972,271.1,108059,111548,203647,3269,388,3919
"Schenectady, NY",152169,39.8,35509,52704,23586,3597,150474,50,2352,130,23598,1,3,383,108,480,65,49,162,112,287,40,444,24529,75377,7.7,740,9,1124,3481,288,53137,26733,552,889,51186,55093,12.7,8827,39327,3416,3348,3041,3173,2934,3095,2604,2712,2375,5053,6598,7950,5154,3007,2230,1498,15871,4018,52675,11.6,154727,8172,756.6,74856,79871,119409,14710,575,4960
"Schoharie, NY",31529,42.5,6532,10986,4893,2140,31813,12,386,34,5897,5,2,81,23,87,17,13,31,17,34,6,62,1706,15310,9.4,22,0,151,420,12,32839,5049,49,204,11229,11380,15,924,8517,806,780,709,619,597,581,586,861,674,1282,1270,1579,1096,452,320,137,15095,1072,48640,11.9,32749,1167,52.7,16375,16374,30742,435,70,217
"Schuyler, NY",18720,44.2,3890,5496,3141,2178,18896,6,155,40,3569,3,0,34,28,62,16,5,10,5,14,1,42,0,10005,8.4,15,0,35,152,4,25772,2396,56,64,6830,6992,15.6,234,4926,486,395,482,581,496,570,412,426,420,724,881,757,608,149,143,82,14948,610,42442,12.1,18343,-881,55.9,9122,9221,17646,159,47,53
"Seneca, NY",34049,41,7519,11919,5184,2013,34181,16,444,68,11167,2,2,66,43,187,12,12,29,18,34,8,65,1337,17211,7.9,45,0,98,488,24,36069,4661,339,239,13556,12226,15.8,952,8762,732,674,725,817,874,773,637,814,641,1123,1431,1545,682,358,249,154,14430,780,44321,12.5,35251,1909,108.9,18454,16797,31999,1607,104,244
"Steuben, NY",96552,41.4,23198,30995,15035,1572,96674,29,817,104,13208,4,4,161,71,355,54,42,106,56,147,10,243,12074,45194,9.9,161,0,276,1026,32,55078,16793,177,356,34949,35527,13.6,1371,25958,2753,2849,2860,2874,2414,2361,2308,2321,2166,3479,3944,4141,2540,883,958,546,14926,3640,42764,15.1,98990,264,71.2,49126,49864,93476,1540,230,1161
"Suffolk, NY",1518475,39.8,357670,509889,204117,18115,1511028,478,35689,971,380578,69,76,6804,2201,6620,1077,696,2412,1688,5606,545,4632,246120,786747,7.6,2583,43,4690,24211,2098,52160,257236,8567,13248,513304,532254,13.4,246239,370897,15950,12436,13460,13639,13192,14447,14416,15315,14533,33071,49070,74210,61891,43404,46764,43060,17432,13299,82984,5.7,1493350,73981,1637.4,734668,758682,1068728,111224,5366,50972
"Sullivan, NY",75828,41.7,17576,24878,11037,3493,75924,42,1194,244,35041,7,8,231,48,302,44,31,94,116,162,19,258,13978,35020,9.2,196,4,503,1045,58,34935,10380,111,281,28158,27166,18.4,10554,19272,2203,1682,1934,1674,1839,1513,1287,1601,1397,2393,3326,3862,1958,956,1075,689,15398,2202,43384,17.4,77547,3581,80.1,39614,37933,57780,7039,354,1075
"Tioga, NY",50064,42.5,11977,15306,7618,1751,50367,15,409,48,7036,3,1,105,36,145,14,18,35,12,59,6,70,10263,25573,8.1,35,0,123,401,19,46991,8220,157,206,18133,18153,12.8,694,14150,1331,1068,1159,1090,1042,1058,959,1150,1000,1913,2647,2821,1340,762,477,307,15262,1746,48788,11.3,51125,-659,98.6,25345,25780,49105,375,86,372
"Tompkins, NY",101779,29.8,16659,50690,10543,2262,100583,35,1582,153,22338,8,6,174,94,363,42,60,119,103,275,33,252,8103,56653,6.1,137,2,425,1858,55,40539,12022,3767,2951,26472,27760,24,4264,20042,4140,2373,2111,2060,2179,1915,1743,1783,1706,2637,3889,4107,2635,1694,1527,1308,16464,2431,45535,18.8,101564,5063,214,50031,51533,81490,4020,360,8737
"Ulster, NY",181440,42,36816,62327,26192,3985,181510,62,3070,334,43307,12,4,594,186,752,117,86,208,201,431,69,517,19545,88883,8.2,458,6,822,2279,97,36525,26227,849,1288,66366,65588,18.6,15909,44379,3579,3459,3448,3319,3580,3298,2937,3686,3023,6016,7842,9876,6420,3837,2996,2551,15359,4815,55285,12.5,182493,4744,162.3,90809,91684,149099,10982,597,3106
"Warren, NY",66021,44.1,13545,20200,11595,3472,65743,33,1356,151,29140,12,6,233,77,435,34,38,97,81,173,14,274,28670,36104,8.5,111,0,165,1319,17,38002,10179,141,160,23716,25338,15.2,1178,17743,1691,1517,1668,1534,1848,1583,1211,1527,1086,2525,3345,3204,2163,874,996,653,15416,2047,50017,10.9,65707,2404,75.8,32082,33625,62585,590,144,456
"Washington, NY",62753,41.7,13317,21438,9648,2130,62486,19,600,128,11593,3,1,176,88,190,21,16,39,21,68,6,99,2422,32149,7.8,116,2,186,577,24,36676,9652,86,350,23799,22315,15.4,1446,16269,1539,1456,1362,1489,1386,1465,1608,1511,1111,2446,3165,2966,1576,596,445,279,15021,2271,46140,14,63216,2174,76.1,32758,30458,58996,1893,128,266
"Wayne, NY",91291,41.6,22299,29374,12758,2285,91658,24,801,135,21523,5,4,262,130,279,42,22,63,54,105,18,152,4368,47481,8.8,184,1,392,1375,47,38728,15910,206,269,32895,33361,13.8,3476,25304,1905,2128,1816,2080,2034,2016,1772,1754,1762,3442,4568,5183,2857,1344,895,492,15820,2952,49849,11,93772,7,155.3,46520,47252,85318,2887,258,473
"Westchester, NY",955962,40,228000,317984,135355,31812,949050,378,42411,357,118178,58,22,3426,632,3850,591,652,1952,2011,4294,556,3580,298244,481042,7.2,2401,26,2366,10987,841,68064,149474,5007,8939,313968,342983,14.9,207032,236419,15957,11948,11142,12257,12197,12230,10936,12524,11084,21838,28783,40263,31874,22478,29635,53381,17519,17198,77057,9.1,949113,25654,2204.7,456661,492452,544563,138118,3965,51716
"Wyoming, NY",41398,40.9,8704,15003,5530,1778,41820,16,631,28,4123,9,3,102,49,129,35,13,38,19,59,3,64,3048,20654,9.2,52,0,110,371,13,40732,4936,37,92,18074,13914,16.4,1244,10533,841,916,918,814,843,852,920,802,796,1589,2015,1964,1030,420,191,147,15210,969,47376,11.3,42155,-1269,71.1,22953,19202,38042,2375,126,160
"Yates, NY",24482,40.7,6215,7624,4066,2845,24526,6,287,44,8253,0,1,88,30,96,15,10,16,17,30,5,59,0,13315,6.7,15,0,72,194,3,30377,2678,28,75,8483,8886,16.8,421,6404,592,610,658,683,490,502,570,455,469,703,1064,1068,548,328,196,176,15528,936,43140,13.8,25348,727,75,12278,13070,24371,203,38,97
NORTH CAROLINA,9380884,37.4,2281635,3512362,1192025,4096,9045705,2779,207413,33889,5107165,756,468,24296,9302,34702,5387,3387,13975,10220,22275,2366,22491,1468969,4512770,10.6,41421,584,106845,224235,25826,42275,1488645,40177,55870,3077401,3235538,18.2,800120,2499174,306904,228032,214410,218948,213636,211360,189874,185424,165495,302902,358560,395366,223312,120225,105901,101458,14653,331613,43754,16.2,9535483,1486170,196.1,4645492,4889991,6223995,2048628,122110,208962
"Alamance, NC",150358,38.7,35443,53800,21210,4610,144769,50,2398,847,79991,2,7,360,216,595,62,36,201,121,220,39,345,7378,69940,11.4,689,4,1752,3842,267,34026,23653,671,615,48906,53015,19.5,16639,39848,4532,3967,3623,3966,3983,3408,2755,3155,3207,5250,6159,6823,3433,1585,1024,995,14851,5054,43103,15.2,151131,20331,356.5,71890,79241,101718,28369,1020,1837
"Alexander, NC",36777,40.8,8453,12395,5209,5465,36278,10,338,47,10838,1,2,80,78,80,27,3,39,12,36,0,43,0,17742,13,87,4,337,585,47,29041,5626,96,133,13524,13391,17.3,1601,10338,1061,1099,957,1004,813,714,736,694,701,1153,1693,1288,465,268,227,266,14432,931,40813,14.9,37198,3595,143.1,18824,18374,32671,2043,98,360
"Alleghany, NC",10964,45.9,2235,3210,2207,5676,10905,6,212,39,7854,2,1,59,16,43,7,5,19,11,13,0,32,3312,4642,11.5,4,0,10,42,3,22862,1618,14,68,4524,4219,23,1004,3257,627,507,338,375,340,420,264,293,265,403,217,323,202,80,79,60,13550,480,33501,19.3,11155,478,47.5,5532,5623,9862,140,27,54
"Anson, NC",25056,39.5,5966,9655,3671,3567,25243,8,265,31,4667,20,2,44,22,77,17,6,22,8,30,2,54,0,9917,14.3,146,4,409,641,74,34012,4046,18,40,9945,9045,14.2,812,6628,973,927,629,683,571,897,615,696,424,662,567,799,184,57,53,155,13400,1471,32500,24.1,26948,1673,50.7,14015,12933,12344,13090,165,288
"Ashe, NC",25812,45.5,5301,8151,5077,5766,25467,13,553,90,16601,3,1,121,19,104,11,12,36,33,24,0,50,624,12387,12.3,26,0,228,241,36,24509,3533,19,73,9767,10173,21.7,1311,8030,1307,859,970,976,777,738,599,441,588,1156,992,986,415,204,196,135,13268,1055,34056,18.1,27281,2897,64,13489,13792,25420,161,65,105
"Avery, NC",17932,42.3,3059,6485,3162,7561,17903,9,252,50,21789,2,2,101,17,82,18,10,24,30,35,4,37,10957,7878,10.8,21,0,73,163,11,22959,2435,58,135,7229,5985,26.5,797,4422,617,507,519,866,592,463,357,308,371,436,599,720,232,76,181,223,15128,848,33919,18.9,17797,630,72,9690,8107,16029,709,75,56
"Beaufort, NC",46414,43.8,10527,14043,8617,2566,45993,16,1109,211,21845,18,1,131,58,206,55,13,72,39,90,11,141,2217,20481,11.4,271,1,571,989,95,30796,7977,82,140,16410,17977,17.8,3166,13495,1978,1687,1520,1135,1209,1180,947,1064,794,1820,1751,2015,1115,353,331,349,14374,2185,38829,19.3,47759,2801,57.7,23008,24751,31705,12223,208,165
"Bertie, NC",19345,42.9,4436,6786,3184,2555,19187,7,159,24,2507,13,2,25,17,55,22,3,15,7,13,2,60,671,8691,11.6,33,1,157,168,28,28167,3113,1,12,6694,7428,16.6,267,5496,1195,896,698,706,602,363,332,498,457,566,391,631,158,128,110,35,12379,1679,29693,24.3,21282,1509,30.4,10534,10748,7393,13296,96,103
"Bladen, NC",32343,41.3,8117,11109,4804,3296,32412,8,246,38,5908,27,3,42,34,100,16,5,33,16,34,0,67,139,15527,12.2,158,2,429,784,62,30096,5380,52,155,10830,11841,14.5,2502,9609,2230,1355,1010,874,800,716,644,547,609,1081,1007,1093,483,92,86,142,12047,2266,31248,23.3,35190,2912,40.2,16887,18303,19242,12268,749,70
"Brunswick, NC",107062,47.4,20161,30259,22094,4279,98712,51,1647,1079,184876,10,5,376,77,375,58,25,138,150,195,20,196,21390,50413,11.2,237,2,1541,1887,189,29716,12710,107,243,37587,39757,19.8,5549,32220,3238,2782,2668,2635,2793,3014,3063,2306,2435,3943,4465,4787,2480,1409,1091,1186,16233,3656,44891,14.6,107431,34288,126.8,52660,54771,86818,12291,761,579
"Buncombe, NC",231452,40.6,48840,84114,36899,7098,225869,91,4072,1588,186373,4,8,850,299,1106,146,125,386,402,846,111,794,46279,121447,8.4,815,7,1869,4520,649,34798,30461,731,821,78575,88348,18.6,14254,61037,6919,6722,6187,6834,5663,6601,5444,5138,4762,8616,10006,10248,5585,2743,2314,2683,14847,8378,40979,16.2,238318,31988,362.9,114770,123548,201241,15211,948,2417
"Burke, NC",89548,41.2,20188,30133,13934,5881,88987,18,759,113,24514,5,6,147,140,258,26,10,79,52,113,7,197,2195,38809,13.4,176,4,819,1184,140,30322,15649,147,196,31491,32610,16.5,4634,24445,3696,2955,2660,2775,2284,2186,1733,1949,1901,3212,3179,3127,1024,468,464,351,13485,3687,36177,17.4,90912,1764,179.3,45468,45444,75472,6012,325,3185
"Cabarrus, NC",172223,36.7,48781,64304,18442,5621,161473,44,2099,671,84035,8,6,513,171,696,101,52,232,172,338,42,334,154332,84098,11.3,386,16,1350,3424,399,36830,33600,371,756,54062,57149,18.2,16767,48040,3133,3687,2976,3366,3127,3312,3101,3255,2631,5138,7820,8107,5082,2282,2363,2124,15199,4569,52988,11.4,178011,46948,492.1,86944,91067,127526,27219,659,3513
"Caldwell, NC",79914,41.3,18786,27314,12452,5077,79382,21,849,132,20099,3,7,153,130,264,41,11,80,59,88,7,126,1873,37171,14.4,151,8,788,1880,175,34051,13092,122,206,28452,28994,14.5,3796,23456,3048,2665,2392,2069,2456,1968,1631,1587,1522,2830,3104,2875,1497,520,398,314,14220,3231,35489,16.7,83029,5614,176.1,40848,42181,73565,4086,257,428
"Camden, NC",9730,40.1,2557,3222,1183,2945,9375,1,36,16,4922,6,1,24,3,16,7,1,4,2,6,1,8,0,4375,8.2,9,0,30,65,3,30419,1907,79,159,2943,3293,21.7,215,2834,160,141,166,127,344,177,55,213,112,323,380,556,439,187,71,33,12706,360,55985,8.9,9980,3095,41.5,5006,4974,8103,1316,33,146
"Carteret, NC",64423,45.8,12575,19900,12165,3073,63369,24,986,216,40682,3,5,297,70,398,40,22,95,123,144,16,178,9518,32186,8.8,229,1,588,1527,81,26608,8744,260,247,23494,24868,19.4,2241,19007,1961,1551,1596,1830,1406,1373,1838,1501,1458,2561,2994,3303,1585,963,948,541,14702,1938,44036,13.1,66469,7086,131.3,32829,33640,58101,4041,316,580
"Caswell, NC",23004,43.6,4889,7434,3648,3122,23228,2,50,40,7579,6,0,30,10,44,8,3,10,5,17,1,29,214,10613,11.9,41,2,151,230,22,21472,3444,12,55,8436,8578,17,744,6358,958,811,564,796,588,389,611,606,551,783,751,785,303,72,12,90,13672,1145,34028,22.6,23719,218,55.8,12074,11645,14513,8020,85,60
"Catawba, NC",159125,39.6,36795,52619,22488,5300,155157,55,2513,156,40537,5,7,394,420,747,122,61,253,185,334,26,395,15615,75238,13.1,557,12,1498,4234,419,39110,25388,315,424,54655,57011,17.2,13032,41818,4291,3987,3598,4241,4036,3644,3668,3307,2984,5243,6154,6514,3126,1705,1499,1300,14949,5409,42100,14.4,154358,12673,387.1,75603,78755,120388,13041,489,5352
"Chatham, NC",64772,43.6,13841,19101,9408,5599,61444,19,553,263,59435,14,4,196,80,176,33,11,59,38,140,13,124,5934,33614,7.4,106,0,370,657,73,23274,8513,213,509,22375,23190,24.6,8228,17941,1336,1348,1092,1462,1285,1031,804,1186,871,2077,2593,3169,1679,1150,1125,897,15974,1148,57174,11,63505,14176,93.1,30654,32851,45185,8392,344,703
"Cherokee, NC",26307,48.1,5287,7315,5916,6747,26203,13,501,108,19133,1,1,102,23,138,8,11,34,28,55,2,79,339,10002,14.2,51,0,204,493,17,25914,3889,26,28,9757,10342,21.1,688,8094,1302,845,817,817,882,498,827,682,385,1293,877,872,361,235,229,93,14737,939,33408,17.8,27444,3146,60.3,13341,14103,25341,350,363,132
"Chowan, NC",14784,44.8,3317,4109,2773,2461,14629,7,258,29,5460,7,0,48,21,64,14,6,18,18,29,2,51,366,6298,11,57,0,118,259,8,30261,2448,27,14,5061,5652,17.2,467,4163,673,522,379,401,368,268,484,281,304,570,418,464,279,104,43,103,13271,763,35944,20.6,14793,267,85.8,7030,7763,9040,5070,43,52
"Clay, NC",10333,49.6,1983,2714,2415,7131,10084,3,160,41,7122,1,0,61,9,50,1,5,5,13,14,0,21,50,4544,11.1,11,0,35,106,12,22231,1470,0,43,3795,3947,22.8,258,3172,572,230,411,454,240,379,398,263,72,307,439,301,225,141,123,35,13533,396,39298,16.9,10587,1812,49.3,5223,5364,10080,64,32,24
"Cleveland, NC",99274,40.3,22998,32508,15110,4007,98331,32,1260,92,13509,3,4,184,133,372,52,20,115,71,128,13,219,4319,47583,13.6,174,1,1178,1715,239,34803,16999,299,407,32687,36647,14.4,2756,26979,3957,3390,2955,2324,2602,2575,1848,2076,1691,3744,3630,3773,1463,795,619,409,14482,5161,38304,17.5,98078,1791,211.3,47319,50759,72793,20332,232,756
"Columbus, NC",54221,39.8,13532,19381,8370,3295,54050,17,737,28,3413,17,2,92,38,234,33,8,69,41,58,8,178,552,24235,12.7,290,3,996,1762,240,30731,9974,24,137,18622,20391,15.2,2662,15205,3274,1777,1967,1472,1170,1410,937,1030,773,1902,1796,1898,637,355,253,349,13143,3333,33024,25.4,58098,3349,62,28753,29345,35068,17713,1845,154
"Craven, NC",98529,36.2,24203,37551,15761,3076,96789,22,1148,434,47443,21,5,261,75,422,73,20,134,114,223,25,259,5250,41802,10.5,202,1,650,1552,88,44030,14809,318,446,34944,35006,19.4,6272,28174,3758,2191,2347,2683,2425,2855,1717,2202,1801,3251,4057,5466,2442,1024,845,704,14591,4248,41021,16.1,103505,12069,146,51492,52013,69425,23193,504,2099
"Cumberland, NC",315207,31,85541,131284,29994,3008,309316,68,2732,3054,302846,7,11,517,104,1031,148,63,345,324,537,63,785,15017,136315,9.4,2505,36,5606,13147,1314,52241,54501,1253,2745,98570,102215,16.3,30190,83227,11516,6792,7026,7122,8045,7130,6542,6804,5135,9876,12368,12421,6895,3453,2541,2003,13728,14138,41163,17,319431,16468,489.7,154328,165103,150749,117117,5140,7090
"Currituck, NC",24216,41.3,5591,7547,2956,3325,23713,7,167,138,34197,0,2,110,15,137,10,8,18,43,37,3,26,3886,12546,6.8,44,1,170,325,19,26513,4054,73,49,8467,8517,22.4,704,6630,404,439,540,351,624,594,505,326,283,941,1139,1528,754,433,184,258,13256,395,51997,10.4,23547,5357,89.9,11669,11878,20876,1361,107,148
"Dare, NC",34296,43.6,6792,10819,5189,2254,33976,32,939,137,38204,9,3,256,31,440,52,17,81,143,126,11,80,8624,21423,10.7,115,0,557,1269,79,29029,4931,39,148,13292,13007,22.7,2210,9397,776,572,822,938,880,803,1020,1045,577,1496,2050,1821,1143,599,571,570,15156,439,49565,10.7,33920,3953,88.5,16956,16964,30061,834,125,212
"Davidson, NC",158582,40.3,38872,54232,21823,5688,156033,37,2705,266,49440,6,3,399,247,480,77,22,151,102,203,22,207,31204,75803,12.5,433,3,1623,3021,328,27321,26799,321,653,55815,57589,16.6,10408,45972,4985,4449,3747,4253,4037,3977,3144,3079,3299,5745,7375,7178,3230,1580,1181,854,14755,5999,43420,14.6,162878,15632,294.7,79797,83081,133486,14421,794,1994
"Davie, NC",41420,42.5,9751,12366,6385,5239,40297,11,542,66,10975,3,1,120,51,120,36,8,43,23,70,3,58,4265,20198,10.8,59,2,295,594,45,29310,6655,63,161,14160,14875,19.8,2496,11944,847,624,763,808,837,986,860,898,878,1089,1640,2123,1146,638,577,590,16233,854,49057,11.7,41240,6405,156.2,20136,21104,35257,2593,149,239
"Duplin, NC",53177,37.8,14870,19870,7031,4082,52358,15,446,77,13222,21,6,97,31,189,40,4,47,27,59,3,103,547,24403,9,171,12,616,823,128,30898,8967,43,86,18831,18779,24.4,12059,15504,2109,1919,1557,1249,1204,1155,1281,913,795,1450,1248,1497,743,343,121,195,12450,2059,31026,24.3,58505,9442,71.7,28758,29747,30959,14773,267,155
"Durham, NC",269706,33.2,60321,118901,25277,5116,256296,70,4967,1230,181557,3,7,468,177,881,111,176,375,301,1050,109,777,25517,141849,8,1916,25,3913,9149,980,62410,35586,4802,6024,81307,87471,18.2,36077,63486,8370,5288,5126,5668,5374,6199,5552,5276,4849,9329,10068,11804,8047,4608,4026,3684,14994,8318,48770,16.4,267587,44273,935.7,127656,139931,112697,101577,1339,12278
"Edgecombe, NC",51853,39.6,13879,18202,5940,2495,52586,12,310,37,4430,4,4,83,39,148,29,14,43,37,45,7,91,1022,23945,15.6,262,7,645,996,118,37855,8067,64,66,16725,19343,12.5,2104,14842,3598,2121,1814,1735,1429,1459,1047,1156,931,1803,1796,1631,762,326,233,80,13430,4719,32172,25.7,56552,946,111.9,26239,30313,21360,32435,169,113
"Forsyth, NC",359638,37.2,85401,127336,46939,6731,346851,103,13230,1033,113297,8,13,765,315,1368,172,109,651,389,979,107,812,32043,175845,9.9,2496,20,5593,12370,1284,45168,54881,2166,2660,114433,126471,17.3,41775,90462,10605,8093,7849,7888,8542,7811,7307,6859,6283,11744,14199,15537,9251,5084,4549,4649,15429,10532,45769,16.5,350670,44603,859.2,166419,184251,205934,91227,1457,6495
"Franklin, NC",60088,39.1,14862,20809,6787,3735,57201,10,355,158,29403,9,2,196,52,136,26,11,30,26,73,10,82,368,27447,10.3,90,3,486,679,117,29959,8635,112,201,20378,20253,18.7,4776,16317,1737,1518,1177,1242,1447,1478,1100,1226,908,2030,2121,2749,1029,602,497,172,13661,2342,43359,13.7,60619,13359,123.3,30166,30453,38478,16212,329,288
"Gaston, NC",208958,38.9,49241,72849,27530,5574,202149,58,2357,456,103554,1,21,397,294,644,85,33,227,148,283,29,470,9612,96874,12.2,1037,12,2110,5459,750,36187,33677,596,823,69577,75996,14.9,12201,55952,6624,5571,5045,4490,5767,4942,4508,3944,3478,6926,7770,8389,4487,1948,1717,1606,14849,8602,40940,15.6,206086,15721,578.8,99718,106368,156310,31431,850,2478
"Gates, NC",11768,42,2903,3738,1654,2528,11555,3,86,34,5304,5,0,14,4,24,12,1,8,1,9,0,11,0,4749,7.6,9,0,62,145,20,30784,2004,38,11,4091,4273,21.9,173,3398,347,315,331,246,136,198,180,173,176,406,409,525,282,180,38,59,12957,506,42742,17.5,12197,1681,35.8,5962,6235,7684,4044,65,17
"Graham, NC",8001,44.3,1913,2608,1660,4395,7964,2,114,29,4108,3,3,43,7,29,3,2,5,4,7,1,11,392,3989,15.3,0,0,0,0,0,25917,1231,0,37,2836,3114,22.7,194,2575,570,287,321,445,491,292,236,218,29,170,218,273,55,24,34,46,12038,598,30727,19.6,8861,868,30.3,4367,4494,7942,17,566,29
"Granville, NC",57639,39.8,13333,21764,6591,3341,55670,11,539,202,27476,6,2,125,46,141,30,10,31,39,62,2,100,611,25339,10.6,221,0,774,1058,122,39120,9295,34,187,21305,18484,17.1,4482,14697,1738,1080,1044,1270,1086,1112,909,996,830,1943,2682,2438,1272,410,369,227,13637,1880,46305,14.8,59916,11418,112.7,32015,27901,34550,19652,338,326
"Greene, NC",20658,37.7,4952,7816,2469,3426,20402,2,98,9,1613,1,1,37,11,41,9,2,14,3,10,2,48,0,9202,10.2,48,1,256,316,40,21014,3343,15,58,7709,6848,25.3,3054,5143,692,549,467,540,489,303,355,375,257,630,645,666,270,190,82,93,13469,1056,38733,23,21362,2388,80.3,11457,9905,10038,7964,154,72
"Guilford, NC",480362,36.3,114483,188497,59680,5245,464041,147,8565,1480,172098,7,5,1113,691,1871,345,244,894,635,1452,168,1298,49545,246647,10.9,3097,37,7783,14880,1679,44407,74627,2465,3295,151013,165657,17.8,34826,123169,15599,11300,10448,11638,11452,10824,9967,10217,7965,15312,18769,20782,12308,6629,6828,6339,15313,15961,44386,17.1,488406,67358,756.4,232483,255923,265228,158899,2594,19176
"Halifax, NC",54582,41.7,12618,17096,8845,2379,55118,21,619,124,11085,17,9,99,37,261,22,11,59,39,61,7,138,1270,23630,13.2,349,4,965,1455,174,30313,8952,109,196,18563,20850,13.9,1152,14533,3311,1983,2335,1860,1418,1147,990,1266,669,1545,1723,1593,947,287,292,229,12489,4597,29966,26.8,54691,-2679,75.5,26137,28554,21569,29109,2071,362
"Harnett, NC",115761,33.5,31827,44358,10887,5303,108885,27,941,837,113621,10,2,287,68,268,35,13,96,52,120,17,168,1752,47640,11.2,361,3,1136,1896,261,26714,18961,447,902,35680,36058,21.5,12359,29726,4037,2694,2374,2343,2634,2243,2320,2030,1883,4042,4191,4582,2170,863,627,323,12928,4170,42792,17.3,114678,23653,192.7,56199,58479,73707,23973,1392,1029
"Haywood, NC",57109,45.6,11535,17399,11816,6258,56535,17,827,172,36748,2,2,224,38,251,28,18,82,73,100,9,143,7133,27711,9.7,167,0,577,974,86,30079,7962,29,86,20559,22740,16.8,1999,17050,1971,2260,1520,1827,1643,1689,1612,1360,970,2023,2544,2656,1359,501,520,420,15287,2030,40380,15.2,59036,5003,106.6,28502,30534,55368,624,303,215
"Henderson, NC",103669,45.4,21959,30884,23205,10311,100333,33,1902,226,46373,3,5,408,124,413,52,25,156,111,222,26,286,10264,49305,8.4,154,2,780,1648,190,33905,13525,160,404,36571,40048,20.4,10424,30313,2663,2596,2940,2595,2913,2473,2534,2496,1646,4009,4489,5634,2311,1137,943,943,16288,2778,44408,12.4,106740,17567,286.1,51560,55180,90105,3224,449,1022
"Hertford, NC",23283,41,5197,8366,3640,2053,23281,6,276,19,2237,4,3,27,17,111,16,9,23,15,18,6,87,0,9814,9.9,77,4,288,518,57,32269,3351,57,46,7874,8369,15.6,644,6146,1379,747,836,596,597,711,484,325,344,679,604,793,334,56,40,47,12775,1626,31879,24.9,24669,2068,69.9,12062,12607,8479,14933,274,131
"Hoke, NC",45148,30.9,14185,19146,3370,3386,42410,4,115,555,97705,2,3,47,14,65,11,3,14,16,30,9,75,176,20783,8.9,62,4,674,376,53,24949,7941,135,178,13964,14081,19.9,5823,12331,1214,1058,978,1001,583,886,867,694,770,1236,1329,1536,763,343,202,33,11894,1701,40838,21.3,46952,13306,120.2,22878,24074,19142,15716,4512,484
"Hyde, NC",5211,41.2,1076,2120,814,2353,5256,4,240,9,1462,4,2,20,5,41,7,1,7,6,3,1,10,232,2914,8.3,0,0,0,0,0,32420,657,0,0,2579,1520,18.9,411,1345,219,104,20,49,157,192,146,103,142,180,170,219,70,20,0,15,13073,264,33097,24,5810,-16,9.5,3226,2584,3436,1836,28,16
"Iredell, NC",158153,38.9,40585,54448,20331,5761,150346,58,2184,353,93115,12,8,556,266,625,110,47,253,168,380,34,447,135838,78247,12.4,464,3,1458,2867,308,38475,28799,379,448,51758,55455,18.7,10844,43945,4263,3523,3304,3427,2825,3670,2878,3129,2773,5277,5987,7236,3911,1798,1837,1812,15171,3854,47979,13.1,159437,36777,277.8,78491,80946,124107,19047,547,2922
